Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Menno Koch,-0.06,-0.018,-0.042,1.19,1994,25.0,Belgian Pro League,Eupen,Netherlands,CB,CM,6.1,6.5,18.8,-5.5,1.6,0.8,0.6,60.9,9.8,0.0
Merih Demiral,0.046,0.03,0.016,0.72,1998,21.0,"UCL, Serie A",Juventus,Turkey,CB,,6.6,6.8,17.8,-2.1,1.1,1.3,0.8,62.4,11.7,0.0
Mert Günok,-0.038,0.003,-0.042,0.0,1989,30.0,UEL,Başakşehir,Turkey,GK,,5.8,5.2,26.3,-5.8,0.7,0.6,0.7,51.2,12.3,-3.6
Mert Müldür,0.032,0.026,0.006,2.07,1999,20.0,Serie A,Sassuolo,Turkey,RB,RW,9.8,10.7,19.9,-0.5,1.6,1.7,0.7,50.0,14.0,0.0
Merveille Bokadi,0.026,0.013,0.014,0.74,1992,27.0,"Belgian Pro League, UEL",Standard Liège,DR Congo,CB,"DM, CM",8.2,7.9,18.2,-13.6,1.8,1.2,0.8,44.7,11.8,0.0
Messias,-0.015,-0.002,-0.014,0.26,1994,24.0,Primeira Liga,Rio Ave,Brazil,CB,,9.0,8.4,20.1,-5.8,1.3,1.1,1.0,50.0,12.4,0.0
Mesut Özil,0.007,0.004,0.003,2.08,1988,30.0,"Premier League, UEL",Arsenal,Germany,AM,LW,15.3,13.2,21.8,-7.4,0.7,0.8,3.6,45.5,15.2,0.0
Mexer,-0.039,-0.009,-0.03,1.62,1988,30.0,Ligue 1,Bordeaux,Mozambique,CB,RB,6.9,7.5,21.0,-8.2,1.1,0.9,0.7,58.3,13.6,0.0
Michael Amir Murillo,0.034,0.022,0.012,1.18,1996,23.0,Belgian Pro League,Anderlecht,Panama,RB,,9.4,8.5,23.8,-5.5,1.2,1.6,0.7,49.2,14.2,0.0
Michael Chacon,-0.095,-0.044,-0.05,1.4,1994,25.0,Eredivisie,Emmen,Netherlands,DM,"LM, CM",8.9,10.7,19.5,-8.7,1.5,1.2,0.6,43.4,12.5,0.0
Michael Gregoritsch,-0.022,-0.002,-0.02,1.39,1994,25.0,Bundesliga,"Augsburg, Schalke 04",Austria,ST,"AM, CM",11.8,7.6,28.0,-18.3,0.8,0.8,1.3,51.0,13.9,0.0
Michael Keane,0.051,0.025,0.026,4.54,1993,26.0,Premier League,Everton,England,CB,,5.4,7.0,17.3,-4.8,1.6,0.8,0.4,58.0,10.4,0.0
Michael Lang,-0.021,-0.008,-0.013,0.66,1991,28.0,Bundesliga,Werder Bremen,Switzerland,RB,RW,8.7,9.8,21.5,-7.3,1.2,1.0,0.8,51.8,12.9,0.0
Michael Liendl,-0.05,-0.032,-0.018,0.0,1985,33.0,UEL,Wolfsberger AC,Austria,AM,,14.2,11.9,28.0,-3.1,1.1,0.9,4.6,45.9,17.6,0.0
