player,team,rating,season
Scott Arfield,Burnley,6.67,17-18
Tyrone Mings,Bournemouth,6.67,17-18
Jan Bednarek,Southampton,6.66,17-18
Nacer Chadli,West Bromwich Albion,6.66,17-18
Lys Mousset,Bournemouth,6.65,17-18
Ramadan Sobhi,Stoke City,6.65,17-18
Marko Grujić,Liverpool,6.65,17-18
Tom Heaton,Burnley,6.65,17-18
Eliaquim Mangala,Everton,6.65,17-18
Pierre-Emile Højbjerg,Southampton,6.65,17-18
Danny Williams,Huddersfield Town,6.65,17-18
Fousseni Diabaté,Leicester City,6.65,17-18
Tommy Smith,Huddersfield Town,6.65,17-18
Geoff Cameron,Stoke City,6.65,17-18
Scott Malone,Huddersfield Town,6.64,17-18
Cheikhou Kouyaté,West Ham United,6.64,17-18
Kevin Wimmer,Stoke City,6.64,17-18
Leonardo Ulloa,Brighton &amp; Hove Albion,6.63,17-18
Fernando Llorente,Tottenham Hotspur,6.63,17-18
Luciano Narsingh,Swansea City,6.63,17-18
Scott McTominay,Manchester United,6.63,17-18
Andre Gray,Watford,6.63,17-18
Hal Robson-Kanu,West Bromwich Albion,6.63,17-18
Bruno Martins Indi,Stoke City,6.63,17-18
Sam Field,West Bromwich Albion,6.63,17-18
Nikola Vlašić,Everton,6.63,17-18
Oliver McBurnie,Swansea City,6.63,17-18
Christian Atsu,Newcastle United,6.63,17-18
Islam Slimani,Newcastle United,6.62,17-18
Alex McCarthy,Southampton,6.62,17-18
Isaac Hayden,Newcastle United,6.61,17-18
Renato Sanches,Swansea City,6.61,17-18
Diafra Sakho,West Ham United,6.61,17-18
Benik Afobe,Bournemouth,6.61,17-18
Dan Gosling,Bournemouth,6.6,17-18
Molla Wagué,Watford,6.6,17-18
Hamza Choudhury,Leicester City,6.6,17-18
Freddie Ladapo,Crystal Palace,6.6,17-18
Edward Nketiah,Arsenal,6.6,17-18
Nathaniel Clyne,Liverpool,6.6,17-18
Liam Rosenior,Brighton &amp; Hove Albion,6.6,17-18
Ramiro Funes Mori,Everton,6.6,17-18
Kevin Mirallas,Everton,6.6,17-18
Charlie Adam,Stoke City,6.59,17-18
Collin Quaner,Huddersfield Town,6.58,17-18
Josh Sims,Southampton,6.58,17-18
Javier Manquillo,Newcastle United,6.58,17-18
Rolando Aarons,Newcastle United,6.58,17-18
Elias Kachunga,Huddersfield Town,6.57,17-18
Martin Kelly,Crystal Palace,6.57,17-18
Connor Goldson,Brighton &amp; Hove Albion,6.57,17-18
Martin Cranie,Huddersfield Town,6.57,17-18
Adam Lallana,Liverpool,6.57,17-18
Miguel Britos,Watford,6.56,17-18
Joe Hart,West Ham United,6.56,17-18
Sam McQueen,Southampton,6.56,17-18
Sandro Ramírez,Everton,6.56,17-18
Adrien Silva,Leicester City,6.55,17-18
Orestis Karnezis,Watford,6.55,17-18
Ademola Lookman,Everton,6.55,17-18
Marc Pugh,Bournemouth,6.55,17-18
Danny Simpson,Leicester City,6.55,17-18
Wayne Routledge,Swansea City,6.54,17-18
Yannick Bolasie,Everton,6.54,17-18
Roque Mesa,Swansea City,6.54,17-18
Lucas Moura,Tottenham Hotspur,6.53,17-18
Francis Coquelin,Arsenal,6.53,17-18
Beram Kayal,Brighton &amp; Hove Albion,6.53,17-18
Rajiv Van La Parra,Huddersfield Town,6.53,17-18
Saido Berahino,Stoke City,6.52,17-18
Tom Davies,Everton,6.52,17-18
James McClean,West Bromwich Albion,6.51,17-18
Nathan Dyer,Swansea City,6.51,17-18
Abdelhamid Sabiri,Huddersfield Town,6.5,17-18
Ben Woodburn,Liverpool,6.5,17-18
Pape Souaré,Crystal Palace,6.5,17-18
Emerson Hyndman,Bournemouth,6.5,17-18
Levi Lumeka,Crystal Palace,6.5,17-18
Boaz Myhill,West Bromwich Albion,6.5,17-18
Ross Barkley,Chelsea,6.5,17-18
Joe Willock,Arsenal,6.5,17-18
Josh Cullen,West Ham United,6.5,17-18
Harvey Barnes,Leicester City,6.5,17-18
Ben Hamer,Leicester City,6.5,17-18
Jerome Sinclair,Watford,6.5,17-18
Jamie Murphy,Brighton &amp; Hove Albion,6.5,17-18
Brahim Díaz,Manchester City,6.5,17-18
Patrice Evra,West Ham United,6.5,17-18
Leon Britton,Swansea City,6.5,17-18
Davy Klaassen,Everton,6.5,17-18
Chung-yong Lee,Crystal Palace,6.5,17-18
Gareth McAuley,West Bromwich Albion,6.5,17-18
Aaron Lennon,Burnley,6.5,17-18
Ezequiel Schelotto,Brighton &amp; Hove Albion,6.49,17-18
Martin Olsson,Swansea City,6.49,17-18
Isaiah Brown,Brighton &amp; Hove Albion,6.49,17-18
Nahki Wells,Burnley,6.49,17-18
Oliver Burke,West Bromwich Albion,6.48,17-18
Stephen Ireland,Stoke City,6.48,17-18
Glen Johnson,Stoke City,6.48,17-18
Beni Baningime,Everton,6.47,17-18
Jacob Murphy,Newcastle United,6.47,17-18
Àngel Rangel,Swansea City,6.47,17-18
Jason Puncheon,Crystal Palace,6.43,17-18
Kasey Palmer,Huddersfield Town,6.43,17-18
Divock Origi,Liverpool,6.4,17-18
Jérémie Boga,Chelsea,6.4,17-18
Julien Ngoy,Stoke City,6.4,17-18
Uwe Hünemeier,Brighton &amp; Hove Albion,6.4,17-18
Lukas Nmecha,Manchester City,6.4,17-18
Jay Fulton,Swansea City,6.4,17-18
Sam Baldock,Brighton &amp; Hove Albion,6.4,17-18
Jonathan Walters,Burnley,6.4,17-18
Daniel Amartey,Leicester City,6.4,17-18
Ben Watson,Watford,6.39,17-18
Ibrahim Afellay,Stoke City,6.38,17-18
Lee Grant,Stoke City,6.37,17-18
Joe Lolley,Huddersfield Town,6.36,17-18
Jordan Hugill,West Ham United,6.35,17-18
Georges-Kévin N'Koudou,Burnley,6.35,17-18
Dean Whitehead,Huddersfield Town,6.33,17-18
Michael Obafemi,Southampton,6.2,17-18
Jack Simpson,Bournemouth,6.2,17-18
Josh Tymon,Stoke City,6.2,17-18
Michael Hefele,Huddersfield Town,5.8,17-18
Damien Delaney,Crystal Palace,5.8,17-18
Konstantinos Mavropanos,Arsenal,5.8,17-18
Axel Tuanzebe,Manchester United,0.0,17-18
Dwight McNeil,Burnley,0.0,17-18
Vincent Janssen,Tottenham Hotspur,0.0,17-18
Massadio Haïdara,Newcastle United,0.0,17-18
Eden Hazard,Chelsea,7.84,18-19
Mohamed Salah,Liverpool,7.44,18-19
Raheem Sterling,Manchester City,7.42,18-19
Virgil van Dijk,Liverpool,7.41,18-19
Georges-Kévin N'Koudou,Tottenham Hotspur,7.4,18-19
John Ruddy,Wolverhampton,7.4,18-19
Sergio Agüero,Manchester City,7.39,18-19
Trent Alexander-Arnold,Liverpool,7.38,18-19
James Maddison,Leicester City,7.36,18-19
Sadio Mané,Liverpool,7.36,18-19
Ryan Fraser,Bournemouth,7.35,18-19
Kevin De Bruyne,Manchester City,7.34,18-19
Lucas Digne,Everton,7.33,18-19
Willian,Chelsea,7.33,18-19
David Silva,Manchester City,7.32,18-19
Riyad Mahrez,Manchester City,7.3,18-19
Harry Kane,Tottenham Hotspur,7.29,18-19
David Luiz,Chelsea,7.27,18-19
Paulo Gazzaniga,Tottenham Hotspur,7.27,18-19
Youri Tielemans,Leicester City,7.25,18-19
İlkay Gündoğan,Manchester City,7.25,18-19
Gylfi Sigurðsson,Everton,7.24,18-19
Kieran Trippier,Tottenham Hotspur,7.23,18-19
Christian Eriksen,Tottenham Hotspur,7.22,18-19
Joël Matip,Liverpool,7.22,18-19
Pedro,Chelsea,7.22,18-19
Luka Milivojević,Crystal Palace,7.22,18-19
Nicolás Otamendi,Manchester City,7.21,18-19
Paul Pogba,Manchester United,7.21,18-19
Willy Caballero,Chelsea,7.2,18-19
Fabri,Fulham,7.2,18-19
Philip Billing,Huddersfield Town,7.19,18-19
Aymeric Laporte,Manchester City,7.19,18-19
Fernandinho,Manchester City,7.19,18-19
Leroy Sané,Manchester City,7.17,18-19
James Milner,Liverpool,7.17,18-19
Benjamin Mendy,Manchester City,7.16,18-19
Raúl Jiménez,Wolverhampton,7.15,18-19
Andrew Robertson,Liverpool,7.15,18-19
Vincent Kompany,Manchester City,7.15,18-19
Bernardo Silva,Manchester City,7.14,18-19
Fabian Schär,Newcastle United,7.14,18-19
Alexandre Lacazette,Arsenal,7.13,18-19
Danilo,Manchester City,7.13,18-19
César Azpilicueta,Chelsea,7.13,18-19
Oleksandr Zinchenko,Manchester City,7.12,18-19
Hugo Lloris,Tottenham Hotspur,7.12,18-19
Kyle Walker-Peters,Tottenham Hotspur,7.12,18-19
João Moutinho,Wolverhampton,7.11,18-19
Dejan Lovren,Liverpool,7.11,18-19
Pierre-Emerick Aubameyang,Arsenal,7.11,18-19
Jonjo Shelvey,Newcastle United,7.1,18-19
Steven Davis,Southampton,7.1,18-19
Petr Čech,Arsenal,7.1,18-19
Toby Alderweireld,Tottenham Hotspur,7.1,18-19
Roberto Firmino,Liverpool,7.09,18-19
Idrissa Gueye,Everton,7.09,18-19
John Stones,Manchester City,7.09,18-19
Felipe Anderson,West Ham United,7.09,18-19
Granit Xhaka,Arsenal,7.08,18-19
Kyle Walker,Manchester City,7.08,18-19
Matt Ritchie,Newcastle United,7.07,18-19
Laurent Koscielny,Arsenal,7.07,18-19
Shane Duffy,Brighton &amp; Hove Albion,7.07,18-19
Marcos Alonso,Chelsea,7.06,18-19
Heung-min Son,Tottenham Hotspur,7.05,18-19
Jamie Vardy,Leicester City,7.05,18-19
Mark Travers,Bournemouth,7.05,18-19
Harry Maguire,Leicester City,7.05,18-19
Callum Wilson,Bournemouth,7.04,18-19
James Tarkowski,Burnley,7.04,18-19
